"Tool category","Tool","Description"
"Workbook operations","list_workbooks","List all spreadsheet files in a directory (non-recursive)"
"Workbook operations","create_workbook_file","Create a new empty spreadsheet file (format by extension)"
"Workbook operations","copy_workbook","Copy an existing file to a new path"
"Sheet operations","list_sheets","List all sheet names in a workbook"
"Sheet operations","add_sheet","Add a new sheet (optional name and position)"
"Sheet operations","rename_sheet","Rename an existing sheet"
"Sheet operations","delete_sheet","Delete a sheet by name"
"Sheet operations","copy_sheet","Duplicate a sheet within a workbook (optional new name and position)"
"Worksheet reading","read_sheet","Read entire sheet as rows (optional row/column bounds)"
"Worksheet reading","read_cell","Read a single cell value, e.g. `B3`"
"Worksheet reading","read_range","Read a rectangular range, e.g. `A1:D10`"
"Worksheet reading","get_sheet_dimensions","Get row and column count of the used range"
"Worksheet writing","write_cell","Write a value to a single cell"
"Worksheet writing","write_range","Write a 2D array starting at a given cell"
"Worksheet writing","append_rows","Append rows after the last used row"
"Worksheet writing","insert_rows","Insert blank or pre-filled rows at a position (shifts rows down)"
"Worksheet writing","delete_rows","Delete rows by index (shifts rows up)"
"Worksheet writing","clear_range","Clear values in a range without removing rows/columns"
"Worksheet writing","copy_range","Copy a block of cells to another location (optionally to a different sheet)"
"Column operations","insert_columns","Insert blank columns at a position"
"Column operations","delete_columns","Delete columns by index"
"Search","search_sheet","Search for a value or regex pattern, returns matching cell references"
"SQL table mode","describe_table","Inspect column names, inferred types, row count, and sample values"
"SQL table mode","sql_query","Execute a read-only SQL `SELECT` (supports JOINs across sheets, GROUP BY, aggregates, subqueries)"
"SQL table mode","sql_execute","Execute `INSERT INTO`, `UPDATE`, or `DELETE FROM` — writes changes back to the file"
